5818	-10495	100
-4294	7909	100
1890	-3146	142
1169	-1733	143.7
-88	431	135.3
240	163	141.3
530	883	136.5
126	1595	141.5
779	450	142.2
1106	664	137
1983	1145	121.2
2221	1272	117.7
2864	1640	112
3751	2122	105.1
4613	2610	90.7
0	1250	144.1
4874	2758	97
1500	0	97
757	386	108.8
1085	-803	79.9
891	-1483	53.1
1231	-1860	7.2
84	-1207	66.7
-1300	-2990	44.4
-571	-2884	36.4
-550	-3284	-199.1
-527	-2842	10.2
-1778	-2317	75.2
-1220	-1404	61.2
-268	80	76.2
-1698	89	72.4
-1223	1181	94.7
-2021	1820	128.3
-2167	1490	100.5
0	-3200	100.5
-258	29	141.3
3801	-266	134.1
