87.648,rad/dist,dir,deg,m,sec,deg_dec,BEARING,curve_tan,curve length,tangent,NORTHING,EASTING,RADIUS,DISTANCE,ID,PARENT_ID,BACK,FORWARD
,Alignment datum,,,,,,,,,,0,0,,,IL 2,,,113050
,Station equation,,,,,,,,,,,,,,,,148292.43,0
50432.84,567.1632,SE,57,42,13,57.70361111,,,,,,,0,,Luther Dr,IL 2,116708.83,51000
,,,,,,,,,,,,,,,,,,50432.84
,,,,,,,122.2963889,,,,,,0,567.1632,,,,
51472.43,527.5677,NE,89,37,43,89.62861111,,,,,,,0,,Old State Rd,IL 2,118014.32,52000
,,,,,,,,,,,,,,,,,,51472.43
,,,,,,,89.62861111,,,,,,0,527.5677,,,,
53000,27.1105,NE,84,13,9,84.21916667,,,,,,,0,,Ashelford Dr,IL 2,118841.45,53000
,,,,,,,,,,,,,,,,,,53000
,,,,,,,84.21916667,,,,,,150,113.9944609,,,,
53027.11,150,R,60,9,40,60.16111111,144.3802778,86.88396094,,,,,0,804.9156609,,,,
54000,402.1318,NE,89,4,33,89.07583333,,,,,,,0,,River Dr S,IL 2,119786.59,54000
,,,,,,,,,,,,,,,,,,54000
,,,,,,,89.07583333,,,,,,0,402.1318,,,,
1000,39,NW,0,55,27,0.924166667,,,,,,,0,,Mobile Home Access Road,River Dr S,54148,1000
,,,,,,,,,,,,,,,,,,1000
,,,,,,,359.0758333,,,,,,30,69,,,,
1086.12,44.75,SW,89,4,33,89.07583333,269.0758333,,,,,,30,104.8928749,,,,
1178.13,178.35,NW,0,39,7,0.651944444,359.3480556,,,,,,30,236.9399825,,,,
1401.67,49.95,NE,86,18,15,86.30416667,86.30416667,,,,,,25,104.6366996,,,,
1492.1,173.45,SE,0,55,27,0.924166667,179.0758333,,,,,,200,212.9609166,,,,
1692.05,29.71,SW,6,40,7,6.668611111,186.6686111,,,,,,0,42.98132463,,,,
55000,171.92,SE,68,29,22,68.48944444,,,,,,,0,,River Dr N Connector,IL 2,120946.6,55000
,,,,,,,,,,,,,,,,,,55000
,,,,,,,111.5105556,,,,,,0,171.92,,,,
4687.89,220.8473,NW,2,10,49,2.180277778,,,,,,,0,,River Dr N,River Dr N Connector,55171.92,4998.07
,,,,,,,,,,,,,,,,,,4687.89
,,,,,,,357.8197222,,,,,,948.97,310.1730796,,,,
5086.87,153.1329,NW,12,56,6,12.935,347.065,,,,,,0,242.4586796,,,,
55000,132.9,NW,68,29,22,68.48944444,,,,,,,0,,Lake Louise Entrance,IL 2,120946.6,55000
,,,,,,,,,,,,,,,,,,55000
,,,,,,,291.5105556,,,,,,0,132.9,,,,
60003.34,74.0329,NW,31,48,32,31.80888889,,,,,,,0,,Kennedy Hill Rd,IL 2,126049.05,60003.34
,,,,,,,,,,,,,,,,,,60003.34
,,,,,,,328.1911111,,,,,,800,337.917195,,,,
60587.16,893.3239,NE,4,42,7,4.701944444,4.701944444,,,,,,0,1157.208195,,,,
60040,144.48,SE,20,57,6,20.95166667,,,,,,,0,,Frontage Rd Connector,IL 2,137115.5597,60040
,,,,,,,,,,,,,,,,,,60040
,,,,,,,159.0483333,,,,,,0,144.48,,,,
62000,1312.4904,NW,1,54,40,1.911111111,,,,,,,0,,Meridian Rd,IL 2,148292.43,62000
,,,,,,,,,,,,,,,,,,62000
,,,,,,,358.0888889,,,,,,0,1312.4904,,,,
62700,208.4648,NE,0,25,6,0.418333333,,,,,,,0,,Gold River Ave N,IL 2,2541.35,63000
,,,,,,,,,,,,,,,,,,62700
,,,,,,,0.418333333,,,,,,0,208.4648,,,,
62700,300,NE,0,25,6,0.418333333,,,,,,,0,,Gold River Ave S,IL 2,2541.35,63000
,,,,,,,,,,,,,,,,,,62700
,,,,,,,0.418333333,,,,,,0,300,,,,
64000,300,NW,0,20,49,0.346944444,,,,,,,0,,Blue Lake Ave,IL 2,2969.26,64000
,,,,,,,,,,,,,,,,,,64000
,,,,,,,359.6530556,,,,,,0,300,,,,
64800,200,NW,2,8,41,2.144722222,,,,,,,0,,Willow Run,IL 2,3436.72,65000
,,,,,,,,,,,,,,,,,,64800
,,,,,,,357.8552778,,,,,,0,200,,,,
66000,200,NE,22,41,11,22.68638889,,,,,,,0,,Antler Trail,IL 2,3700,66000
,,,,,,,,,,,,,,,,,,66000
,,,,,,,22.68638889,,,,,,0,200,,,,
66585.01,441.9881,NW,7,0,19,7.005277778,,,,,,,0,,Silver Creek Rd S,IL 2,4091.07,67000
,,,,,,,,,,,,,,,,,,66585.01
,,,,,,,352.9947222,,,,,,0,441.9881,,,,
67762.37,99.3938,NW,28,25,5,28.41805556,,,,,,,0,,Silver Creek Rd N,IL 2,6141.58,68000
,,,,,,,,,,,,,,,,,,67762.37
,,,,,,,331.5819444,,,,,,1500,142.0858944,,,,
67947.12,52.8807,NW,25,9,27,25.1575,334.8425,,,,,,0,95.57279442,,,,
29700,65.7504,NW,18,35,53,18.59805556,,,,,,,0,,Prairie Rd S,IL 2,8117.55,30000
,,,,,,,,,,,,,,,,,,29700
,,,,,,,341.4019444,,,,,,4000,165.8368233,,,,
29965.89,34.11,NW,21,27,53,21.46472222,338.5352778,,,,,,0,134.1964233,,,,
163911.98,115.6538,NW,6,22,48,6.38,,,,,,,0,,Prairie Rd N,IL 2,8117.55,163911.98
,,,,,,,,,,,,,,,,,,163911.98
,,,,,,,353.62,,,,,,1600,115.6538,,,,
164180.25,450.347,NW,0,54,54,0.915,359.085,,,,,,0,450.347,,,,
40000,85.46,NW,45,24,39,45.41083333,,,,,,,0,,CEL_201+44.09,IL 2,20144.09,40000
,,,,,,,,,,,,,,,,,,40000
,,,,,,,314.5891667,,,,,,50,189.7434364,,,,
40197.83,65.99,NE,83,21,26,83.35722222,83.35722222,,,,,,85,192.8701112,,,,
40307.99,30.7,NE,53,34,57,53.5825,53.5825,,,,,,35,77.27015004,,,,
40380.72,63.83,NW,15,14,11,15.23638889,344.7636111,,,,,,0,87.80347524,,,,
