sta,rad/dist,DIRECTION,deg,m,sec,deg_dec,abs_bearing,STATION,NORTHING,EASTING,RADIUS,DISTANCE,BEARING,ID,PARENT_ID,BACK,FORWARD
,Alignment datum,,,,,,,113050,0,0,,,,IL 2,,,
,Station equation,,,,,,,,,,,,,,,148292.43,0
19825.28,294.0792,NE,42,22,27,42.37416667,42.37416667,,,,0,294.0792,42.37410806,,,,
20119.36,950,R,24,16,10,24.26944444,66.64361111,,,,950,0,24.26944444,,,,
20521.76,221,NE,66,38,37,66.64361111,66.64361111,,,,0,221,66.64360953,,,,
40000,430,NW,2,27,39,2.460833333,357.5391667,40000,,,0,430,2.460903306,Union St,IL 2,40000,113214.23
126433.69,724.3802,SE,2,27,39,2.460833333,177.5391667,126433.69,,,0,724.3802,2.460903306,IL 72,IL 2,126433.69,113214.23
41785.66,627.6679,NW,2,36,16,2.604444444,357.3955556,41785.66,,,0,627.6679,2.60458,Chestnut St,IL 2,42000,113653.6592
43803.25,599.2619,NW,2,42,57,2.715833333,357.2841667,43803.25,,,0,599.2619,2.715726056,Market St,IL 2,44000,114094.9939
45792.11,207.8916,NW,3,17,1,3.283611111,356.7163889,45792.11,,,0,207.8916,3.283717861,Peru St,IL 2,46000,114530.1275
46549.82,464.5329,NE,86,39,12,86.65333333,86.65333333,46549.82,,,0,464.5329,86.65327097,E 3rd St,IL 2,47014.35,115950.62
48014.2,455.3657,NE,87,34,38,87.57722222,87.57722222,48014.2,,,0,455.3657,87.57708269,Kysor Dr,IL 2,48014.2,115974.23
48469.57,545.2175,NE,88,11,11,88.18638889,88.18638889,,,,0,545.2175,88.18639247,,,,
50432.84,567.1632,SE,57,42,13,57.70361111,122.2963889,50432.84,,,0,567.1632,57.70368272,Luther Dr,IL 2,51000,116708.83
51472.43,527.5677,NE,89,37,43,89.62861111,89.62861111,51472.43,,,0,527.5677,89.62854219,Old State Rd,IL 2,52000,118014.32
53000,27.1105,NE,84,13,9,84.21916667,84.21916667,53000,,,0,27.1105,84.219064,Ashelford Dr,IL 2,53000,118841.45
53027.11,150,R,60,9,41,60.16138889,144.3805556,,,,150,0,38.19722222,,,,
53184.61,718.0317,SE,35,37,11,35.61972222,144.3802778,,,,0,718.0317,35.61961097,,,,
54000,402.1318,NE,89,4,33,89.07583333,89.07583333,54000,,,0,402.1318,89.07586956,River Dr S,IL 2,54000,119786.59
1000,39,NW,0,55,27,0.924166667,359.0758333,1000,,,0,39,0.924130444,Mobile Home Access Road,River Dr S,1000,54148
1039,30,L,90,0,0,90,269.0758333,,,,30,0,90,,,,
1086.12,44.75,SW,89,4,33,89.07583333,269.0758333,,,,0,44.75,89.07586956,,,,
1130.87,30,R,90,16,20,90.27222222,359.3480556,,,,30,0,90.27222222,,,,
1178.13,178.35,NW,0,39,7,0.651944444,359.3480556,,,,0,178.35,0.651899306,,,,
1356.48,30,R,86,57,22,86.95611111,86.30416667,,,,30,0,86.31055556,,,,
1401.67,49.95,NE,86,18,15,86.30416667,86.30416667,,,,0,49.95,86.30415367,,,,
1451.62,25,R,92,46,18,92.77166667,179.0758333,,,,25,0,92.77166667,,,,
1492.1,173.45,SE,0,55,27,0.924166667,179.0758333,,,,0,173.45,0.924130444,,,,
1665.55,200,R,7,35,34,7.592777778,186.6686111,,,,200,0,7.592777778,,,,
1692.05,29.71,SW,6,40,7,6.668611111,186.6686111,,,,0,29.71,6.668519028,,,,
55000,171.92,SE,68,29,22,68.48944444,111.5105556,55000,,,0,171.92,68.48957781,River Dr N Connector,IL 2,55000,120946.6
4687.89,220.8473,NW,2,10,49,2.180277778,357.8197222,4687.89,,,0,220.8473,2.180185111,River Dr N,River Dr N Connector,4998.07,55171.92
4908.74,948.97,L,10,45,17,10.75472222,347.065,,,,948.97,0,6.037777778,,,,
5086.87,153.1329,NW,12,56,6,12.935,347.065,,,,0,153.1329,12.93488089,,,,
55000,132.9,NW,68,29,22,68.48944444,291.5105556,55000,,,0,132.9,68.48957781,Lake Louise Entrance,IL 2,55000,120946.6
60003.34,74.0329,NW,31,48,32,31.80888889,328.1911111,60003.34,,,0,74.0329,31.80881478,Kennedy Hill Rd,IL 2,60003.34,126049.05
60077.37,800,R,36,30,39,36.51083333,4.701944444,,,,800,0,36.51055556,,,,
60587.16,893.3239,NE,4,42,7,4.701944444,4.701944444,,,,0,893.3239,4.701821722,,,,
60040,144.48,SE,20,57,6,20.95166667,159.0483333,60040,,,0,144.48,20.95152761,Frontage Rd Connector,IL 2,60040,137115.5597
62000,1312.4904,NW,1,54,40,1.911111111,358.0888889,62000,,,0,1312.4904,1.911030972,Meridian Rd,IL 2,62000,148292.43
62700,208.4648,NE,0,25,6,0.418333333,0.418333333,62700,,,0,208.4648,0.418209,Gold River Ave N,IL 2,63000,2541.35
62700,300,NE,0,25,6,0.418333333,0.418333333,62700,,,0,300,0.418209,Gold River Ave S,IL 2,63000,2541.35
64000,300,NW,0,20,49,0.346944444,359.6530556,64000,,,0,300,0.346943583,Blue Lake Ave,IL 2,64000,2969.26
64800,200,NW,2,8,41,2.144722222,357.8552778,64800,,,0,200,2.144702028,Willow Run,IL 2,65000,3436.72
66000,200,NE,22,41,11,22.68638889,22.68638889,66000,,,0,200,22.68626153,Antler Trail,IL 2,66000,3700
66585.01,441.9881,NW,7,0,19,7.005277778,352.9947222,66585.01,,,0,441.9881,7.005176278,Silver Creek Rd S,IL 2,67000,4091.07
67762.37,99.3938,NW,28,25,5,28.41805556,331.5819444,67762.37,,,0,99.3938,28.41803983,Silver Creek Rd N,IL 2,68000,6141.58
67861.76,1500,R,3,15,38,3.260555556,334.8425,,,,1500,0,3.260555556,,,,
67947.12,52.8807,NW,25,9,27,25.1575,334.8425,,,,0,52.8807,25.1575555,,,,
29700,65.7504,NW,18,35,53,18.59805556,341.4019444,29700,,,0,65.7504,18.59793622,Prairie Rd S,IL 2,30000,8117.55
29765.75,4000,L,2,52,1,2.866944444,338.535,,,,4000,0,2.866944444,,,,
29965.89,34.11,NW,21,27,53,21.46472222,338.5352778,,,,0,34.11,21.46474406,,,,
163911.98,115.6538,NW,6,22,48,6.38,353.62,163911.98,,,0,115.6538,6.380009861,Prairie Rd N,IL 2,163911.98,8117.55
164027.63,1600,R,5,27,54,5.465,359.085,,,,1600,0,5.465,,,,
164180.25,450.347,NW,0,54,54,0.915,359.085,,,,0,450.347,0.914913778,,,,
40000,85.46,NW,45,24,39,45.41083333,314.5891667,40000,,,0,85.46,45.41078989,CEL_201+44.09,IL 2,40000,20144.09
40085.46,50,R,128,46,5,128.7680556,83.35722222,,,,50,0,128.7680556,,,,
40197.83,65.99,NE,83,21,26,83.35722222,83.35722222,,,,0,65.99,83.35719086,,,,
40263.82,85,L,29,46,29,29.77472222,53.5825,,,,85,0,29.77472222,,,,
40307.99,30.7,NE,53,34,57,53.5825,53.5825,,,,0,30.7,53.582554,,,,
40338.69,35,L,68,49,8,68.81888889,344.7636111,,,,35,0,68.81888889,,,,
40380.72,63.83,NW,15,14,11,15.23638889,344.7636111,,,,0,63.83,15.23643631,,,,
